name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M755T35,754.9989513,35.33325,12638375.74,12497693.48,12267850.31,12712605.29,12221015.16,12082794.68
M756T610,755.540515,610.175,5890124.232,4242637.735,4352943.761,5166875.083,3850235.027,4062107.481
M756T570,755.6048998,569.9535,12339.91984,1132972.619,1274010.32,1164432.124,1357047.762,969337.9638
M756T35,756.001623,35.24555,2473896.865,2443764.713,2149697.458,1992268.501,2369165.098,2738598.743
M756T263,756.4002837,263.1575,8897208.932,8772271.341,8602075.366,9320565.759,8950693.637,8979701.275
M757T609,756.5444578,609.3385,1602265.561,1152197.509,1316831.58,1424558.75,1141643.619,1112034.882
M757T625,756.5526779,625.1725,43818976.12,37460499.41,44015053.43,52451575.34,38655114.18,76963333.39
M757T590,756.5895943,590.271,149597.6141,746749.6453,406651.7719,607428.015,460280.0966,775429.7302
M757T40,756.7115835,39.68975,3027613.227,3141757.334,3082420.366,2795546.028,3204643.272,3078214.462
M757T263_1,756.7345157,263.1575,9902695.779,9263509.165,10139068.45,10648180.64,11341123.36,11106655.52
M757T34,756.9715108,34.2787,1420531.044,1897937.003,1671776.451,1573389.405,1365180.418,2180099.516
M757T334_1,757.0274071,334.472,282717.6203,579730.9183,669421.818,632641.3191,755363.6049,583776.6891
M757T263_2,757.0689476,263.1575,5916580.324,7009607.726,6445949.409,6110727.106,6491572.547,7224390.558
M757T334_2,757.36187,334.499,445247.5776,491950.7145,665117.9049,1142563.449,896254.7021,995549.8434
M757T263_3,757.4030564,263.1575,2832215.97,3029371.473,3499912.603,2944901.118,2758146.266,2990280.984
M758T626,757.5562111,626.1985,20238419.24,17738992.75,19757076.45,39051707.58,16188142.38,18084993.13
M758T627,757.6193018,626.916,29813128.45,4025293.646,3382829.946,3896680.611,3961744.856,3746743.122
M758T275,757.6446408,275.4875,2665554.863,2504183.156,1255976.035,3398436.715,3016566.732,2662657.36
M758T263_1,757.7123088,263.267,8713161.146,9782647.039,8856531,9684285.764,9224284.812,10029083.97
M758T274_1,757.8953343,274.288,4086256.927,6698668.823,6803732.181,6318235.64,6647692.399,6892298.745
M758T36,758.0080615,35.9327,2397124.62,3146501.711,1812557.072,1949203.551,2150845.488,2621196.596
M758T263_2,758.0478724,263.267,13018065.02,11598900.66,12530530.22,14034966.72,12007863.03,14532503.77
M758T274_2,758.1463626,273.6935,2918356.548,3281779.691,5046911.133,4416319.291,4949851.942,5823156.217
M758T263_3,758.3827489,263.267,7721219.812,8646395.933,7837195.714,7468035.408,8888864.726,9010974.642
M759T545,758.568119,545.11,17644637.81,873727873.1,657377749.5,328454943.2,299008883.5,281977540.5
M759T628_1,758.5616527,627.5,5512461.472,6002899.689,89868242.35,6636898.138,4996070.002,15553495.98
M759T528,758.5680214,527.7825,3566882.176,398540705.7,363431697.6,1039721564,817503062.2,954635409.6
M759T563,758.5683018,563.437,5202044.279,98482193.45,115906944.6,192309983.6,77696555.35,86519861
M759T585,758.5682739,584.933,2006082.752,22127420.68,18466749.19,19695737.73,19430655.36,14026812.3
M759T628_2,758.622529,627.543,7238122.467,1677402.622,1458812.011,1737655.521,7283065.731,1467974.316
M759T544,758.6578756,543.782,0,5898747.75,4266223.856,4676683.184,3162015.31,2864371.644
M759T527,758.6579738,527.09,0,4526137.262,9299792.792,6937927.715,6178692.977,6300243.766
M759T40,758.7081072,39.68975,7502375.606,8637571.416,8412007.498,8156829.219,8165524.485,7759842.624
M759T263_1,758.7169634,263.267,3368924.13,3621061.786,3823742.569,3911100.42,4200125.616,4062713.546
M759T263_2,759.0511826,263.021,1067541.667,1262133.987,1014122.799,762609.1522,1471377.218,922333.7422
M759T100,759.1984583,100.1539,1571728.496,1892923.661,1665489.198,1632327.04,1847067.025,2139201.492
M760T563,759.5717574,563.382,2520717.868,46770870.79,41389208.82,90306538.3,39394154.48,39016014.88
M760T527,759.5715002,527.483,1025606.844,291600295.7,170583363.3,484361444.2,379717911.5,94914503.64
M760T544,759.5715403,544.182,2663466.461,407025745.3,313897517.9,153838302.9,139687659.5,138324932.6
M760T585,759.57155,585.468,877752.9517,10012004.76,17041251.29,9974474.259,8811494.924,6394606.45
M760T621,759.5674172,620.885,870988.3037,1790633.735,2050710.698,1972163.207,1836400.07,1688243.162
M760T503,759.5716793,503.414,171322.1002,6819857.862,4643381.446,2628490.301,6125649.178,12328614.52
M760T607,759.6363726,606.891,15090210.7,6826723.379,2906678.576,9405986.69,7887609.883,8013778.303
M760T39,759.7082741,39.0997,1658107.286,842501.4533,1803647.329,1725331.079,1416982.838,1756468.598
M760T264,760.3508722,263.918,906868.3324,1160478.65,1357229.88,905724.8823,1195429.162,1478035.675
M760T592_1,760.4667846,592.303,0,805221.0717,500547.3094,2606034.828,775990.2347,506443.6615
M760T592_2,760.4929335,591.912,0,3743382.829,2953756.761,3145646.309,3647111.399,2735720.154
M761T592_1,760.5110448,592.128,0,2501088.205,1893159.625,3113916.582,3647111.399,1882650.843
M761T545,760.5746404,544.742,8696401.498,106180959,88467287.07,78173013.26,80079300.19,37614147.44
