name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M510T426,510.2425378,425.5615,561448.1312,304959.9726,591998.6155,812148.2161,247472.3674,438800.8242
M510T486,510.2526976,486.489,22121141.68,24529888.96,26932053.94,31005544.88,32406941.74,24640909.76
M510T424,510.2787384,423.911,1675752.175,1574233.329,1529190.399,1661826.87,1807694.339,1525635.484
M510T355,510.278877,354.753,287913.0869,374522.0744,266986.1185,257325.4691,328855.5591,283220.8066
M510T371,510.2787109,371.32,338156.2528,296676.6616,320162.7676,226960.2354,260021.4114,308515.1442
M510T634,510.2916855,634.19,1274327.951,1320673.762,1239057.648,1335145.341,1318048.271,1334228.104
M510T559,510.3428751,559.249,160712.5462,190640.7507,117748.5129,170475.8744,119865.826,182909.4451
M510T538,510.3468216,537.807,3200298.977,1989294.776,1387858.759,1293225.847,1795978.875,1527026.918
M510T631,510.3816529,631.46,86035.26947,127019.6491,126755.841,111949.5081,102955.171,109833.2065
M510T536,510.3871591,535.646,1530441.033,4630078.773,1604022.235,1961035.717,2009542.019,3538156.45
M510T554,510.3875958,553.783,1493735.229,1115511.331,1467158.267,1257462.398,1763825.623,1476212.457
M511T61,510.9779747,61.138,1291127.445,1539722.291,1021440.739,1058297.669,1343831.55,1114615.712
M511T389,511.0172659,389.124,9169687.002,8967670.082,13269861.42,8763235.345,8717794.682,8869985.34
M511T3,511.017476,2.581245,1292314.337,899798.1999,1590447.628,1125594.804,1011065.849,1605728.645
M511T35,511.0169279,35.33685,25477594.55,27001806.73,27548580.62,27990193.17,25976111.54,26236886.32
M511T647,511.0172444,646.78,11810737.41,10656045.81,9199858.999,10169339.05,10827757.42,9483789.987
M511T423,511.0174549,422.566,9351640.101,9785535.616,9155152.979,26479771.2,18011740.92,8723584.588
M511T443,511.0176628,442.81,8640497.412,8402370.428,8485308.978,7992035.012,7505450.528,8902540.015
M511T19,511.0173387,18.6262,1236265.21,2084024.925,2493306.405,2339012.744,2318657.4,2543290.123
M511T456,511.0177821,455.982,11794077.36,10376039.07,9854711.459,10439910.07,5432001.223,10188928.92
M511T439,511.0708894,439.414,626583.9035,655261.1719,571989.9388,626555.4332,514337.2471,508346.1406
M511T205,511.1571237,205.071,8085923.598,6850083.968,7745931.931,7921447.014,7161242.602,7240182.132
M511T402,511.2180016,402.356,652522.9838,479325.7497,465983.9815,413642.1423,341450.0076,691369.2131
M511T381,511.254492,380.5225,1857146.593,1981900.385,2150650.928,2576724.218,2926356.603,2078308.631
M511T486,511.2559555,486.489,6347783.479,7444820.078,7746516.34,8612932.99,8803919.254,7154696.314
M511T365,511.2544544,364.676,1094830.052,1075058.39,1099349.772,1051540.013,1102188.487,1132202.7
M511T395,511.2543183,395.418,1326051.409,1626031.577,1527859.467,1576596.521,1604905.702,1500137.312
M511T451,511.2530745,451.371,110954.3541,192179.1175,352109.5742,192081.4234,281596.7111,343932.9289
M511T413,511.290936,413.304,27783431.99,31046794.73,26662337.61,29625979.42,26222938.33,30202682.04
M511T357,511.2910876,357.063,1391469.154,1580716.096,1524555.058,1619053.767,1366280.858,1767733.231
M511T505,511.2941789,505.055,2325927.519,1953118.553,1916243.084,1705463.782,2048447.651,2301301.506
M511T473,511.3038384,473.23,2273718.694,2056887.22,1672239.529,1792195.879,1576744.953,2017200.92
M511T640,511.3035639,639.504,585491.3689,479673.5814,491190.3971,663383.2089,781057.112,712114.0128
M511T542,511.4001428,542.438,12423670.79,9673207.613,8829315.187,25705428.43,9415864.296,6973418.449
M511T563_1,511.4000703,562.547,7899237.022,5332000.273,4667743.501,6363115.036,5421155.045,5883311.668
M511T563_2,511.4730141,562.515,594651.0762,605886.5279,736651.0034,1026271.223,1150093.256,737802.0947
M512T505,511.7956999,504.7385,1174025.511,947730.7597,1000608.623,1144843.164,712843.1542,1256993.201
M512T652,511.9370775,652.042,1041547.924,1107212.969,1269053.737,1568592.474,924451.7852,1024211.021
M512T647,512.0206716,646.78,1426570.26,1525423.854,1211310.361,1341128.579,1222081.173,1425318.213
M512T35,512.0207169,35.12555,3366755.797,3482896.509,3272482.985,3153163.862,3701335.786,3379663.294
M512T205,512.1603605,205.0615,2233429.541,2037177.875,1767678.36,2027406.195,1487392.995,1852960.005
M512T398,512.2506976,398.3845,320835.6458,296261.9292,382675.2468,327196.5724,277604.6962,480528.1835
M512T486,512.2561663,486.428,637160.5922,680892.1611,763164.6906,726065.3837,1001917.226,731103.1845
M512T381,512.2580568,380.509,276884.3757,377863.6563,409866.4817,530018.213,408217.326,553050.9227
M512T536,512.2683627,536.056,21095591.61,19840120.65,17259991.82,18073691.09,16606068.77,16795808.32
M512T414,512.294322,413.601,8623280.421,8888901.593,8083814.902,8405368.36,7708078.239,8637726.599
M512T357,512.2941001,357.0715,402019.8465,366602.7215,366731.5912,333043.6001,243796.6813,350918.2116
M512T504,512.2960454,504.404,410071.3971,349871.5574,194848.8773,247200.8265,229045.0073,340463.9732
M512T474,512.2994402,474.499,398453.0893,866029.746,455260.5667,639863.362,456931.604,472501.5021
M512T573,512.3603046,572.547,379623.0647,185371.412,341597.5206,504077.159,275410.7746,437644.225
M512T542,512.4033684,542.43,5219291.655,3336971.04,2799341.311,10513386.16,8518879.293,3718627.928
M513T493_1,512.7739629,492.8205,1744999.958,1565986.329,1801528.953,1849280.852,1756856.489,1780112.811
M513T39,512.8128803,39.3642,12170080.58,12630442.91,12023900.49,13297663.39,12350518.73,13394138.3
M513T559,512.9595171,559.134,163368.7083,298392.9239,229387.4891,292822.8487,212044.0767,291280.4563
M513T61,512.9750285,60.9866,511568.9351,581312.7867,301350.0577,646070.5502,642837.6372,329566.688
M513T647,513.0217391,646.778,334258.8705,201965.1438,367842.7536,479098.306,200993.3424,338577.9504
M513T35,513.0224143,35.07965,523033.5139,104198.7196,771801.9879,475255.5937,671244.9946,602565.4167
M513T82,513.0553695,81.879,310633.4963,331481.0429,301159.9703,226507.3844,345670.2728,313181.1295
M513T417,513.1081489,417.006,567086.3051,677161.0891,680327.7797,510376.1508,582627.3246,703376.8868
M513T99,513.1486288,98.55995,2269119.47,2249532.816,2080873.775,2148906.08,2411995.587,2015760.251
M513T394,513.1501809,394.4325,2001419.685,2680834.117,2113892.086,1843897.473,2764981.012,1974206.154
M513T561,513.2371036,560.5495,213860.0201,89093.38542,122769.4899,221120.7068,269895.5432,276990.8157
M513T423,513.2701008,422.9025,1281576.302,1449104.994,1292619.823,1708774.959,1488273.904,1368753.715
M513T536,513.2716308,536.384,5719452.239,5536774.383,5159982.145,5218360.799,5001306.343,4780146.768
M513T493_2,513.2755332,492.516,911712.4885,946305.7364,1021667.053,1086437.71,1076042.597,1128665.568
M513T414,513.2964272,413.6225,1482385.599,1649739.764,1350517.874,1623503.38,1493839.318,1584905.171
M513T623,513.3102633,622.74,146390.2186,241158.6965,211248.6146,302104.8437,236113.489,256860.0711
M513T504,513.3430902,504.461,160000.6058,421897.5283,175262.5216,362864.6097,301468.9571,269612.416
M513T542,513.4080161,542.0435,232723.5087,362963.6992,475516.3538,361806.2384,438862.9524,126255.4032
M513T558,513.4157332,557.982,884444.7314,241713.2267,812591.2072,899117.7894,642971.5865,1365211.034
M513T583,513.4157414,583.2,283655.9262,320767.7162,215891.3598,229548.9479,259563.5686,382996.1219
M514T99,514.1519045,98.5596,298075.3558,477232.1585,479303.6276,491666.4443,459507.8356,438098.6466
M514T536,514.2726713,536.326,919851.8772,837012.6997,614508.3246,703252.6212,492976.1303,438635.4802
M514T398,514.2841682,397.7365,2673363.432,2710238.623,2834499.486,2574762.764,2478944.425,2601595.587
M514T457,514.2840609,456.9955,6308903.469,6381245.088,5908567.493,5883603.087,6136038.242,5734394.766
M514T485,514.2891213,485.149,1567364.15,2296403.811,3227801.62,2586667.093,3066934.699,2939334.933
M514T377,514.283535,377.245,367608.3308,424688.2965,266299.9273,418249.7463,377531.994,506991.9749
M514T521,514.306877,520.6955,4916596.96,1549584.29,1804089.422,1680320.803,1286606.125,1847743.983
M515T43,514.611845,43.3515,858920.4123,923125.7895,814845.37,429339.2148,1194102.687,942440.3274
M515T485_1,514.7905439,485.207,1479145.795,1247067.305,1629080.04,1244485.453,1197384.137,1833816.153
M515T39,514.8098226,39.3642,20654184.91,20866766.98,20174752.38,21417702.34,20033898.25,22120074.48
M515T77,514.8701427,77.4341,88726.45859,98814.93226,92598.07696,122111.5945,117299.2897,107981.5668
M515T655,514.9449947,655.445,4369573.014,5224396.254,4553225.636,6663639.954,3704620.688,4529055.574
M515T325,515.0198278,325.312,1135721.04,1727399.628,1739328.979,1241567.317,1779295.439,1055905.02
M515T128,515.0368623,127.9895,441810.3039,497335.5218,431204.2561,416873.033,246571.4736,428360.0217
M515T243,515.075651,242.819,849219.5937,874884.2118,818584.2217,955311.3815,876186.1083,868379.3632
M515T99,515.1382045,99.2119,2052024.031,1850973.796,1996406.167,1719088.857,2006009.831,2145454.843
M515T352,515.1662514,352.1155,1329369.195,1266971.85,1247052.764,1386646.332,1379183.692,1193467.333
M515T449,515.2387146,448.722,1475495.072,1124205.862,1497048.111,1256926.747,1015061.089,1173578.789
M515T646,515.2387237,646.434,1062458.156,1170264.049,1121041.396,1197028.294,945475.6855,934889.5942
M515T394,515.285959,393.775,4590659.847,4848087.894,4760607.55,4596433.727,4751639.753,4624291.248
M515T457,515.2867893,456.665,1899473.656,2269331.753,2034802.84,1687810.04,1735885.963,1883626.269
M515T485_2,515.2912481,485.128,409823.3061,385809.3389,522833.2174,555870.109,483409.9276,540236.2938
M515T552,515.3040386,552.343,575925.3798,240276.0946,151000.4292,135274.5822,204164.5259,249015.273
M515T521,515.3098554,520.993,1084836.184,400716.0288,387811.8395,272355.9046,318680.8203,472778.4783
M515T556,515.352404,555.805,535014.683,488162.4677,507461.0064,521189.0833,641548.2701,508322.7957
M515T572,515.3530776,571.896,206561.5287,337698.676,419437.141,288295.0524,398494.9116,206005.9455
M515T535,515.3739115,535.366,4067694.997,4191173.63,3961831.061,3078640.03,3100830.776,2821258.617
M515T553,515.3738113,553.108,2297717.336,1303316.243,1498026.864,1354371.089,1263639.282,1272675.938
M515T577,515.4103617,577.209,305408.5251,532164.857,482150.536,571144.0712,414050.9028,447242.1698
M516T344_1,516.0837006,344.176,412765.9077,350438.9382,593133.0976,502441.1786,342040.9661,376349.4514
M516T344_2,516.1183297,344.188,596994.9075,524818.8193,567632.3017,686711.8687,720587.0055,487764.7539
M516T351,516.1692403,351.485,393177.2009,369750.8235,298373.8371,392928.2455,315128.0817,319837.344
M516T493,516.2857924,492.516,904501.6905,868734.7204,1072538.093,852811.101,926331.4003,1394310.003
M516T393,516.289166,393.17,687737.784,783934.8528,922255.0395,649651.5458,594202.4066,634657.7622
M516T520,516.3028217,520.393,1322896.214,447935.2643,526671.346,502985.8849,346383.4849,506530.1839
M516T523,516.3225749,523.0805,4791461.629,1873912.398,1359502.851,2004770.125,1687108.579,1551206.66
