name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
720,172.95692,14.211,213940,244234,234132,210186,157861,196982,242686,162958,230782,199090,111099,173102,221768,212381,152015,122952,223347,237573,147017,256383
721,172.95839,1.072,53741,53800,99341,100341,42482,83228,82118,52213,86326,61910,52239,55543,49585,54329,46829,33614,46405,77460,27106,56309
722,172.95966,14.518,281766,372682,350975,311798,334132,335505,323395,68549,309144,368426,143495,280151,334886,319578,175242,196363,284561,484169,209104,355466
723,172.95982,18.966,1339899,199309,1428442,1132172,1223778,1415724,1475900,746484,194311,1498239,139687,115957,1671433,429224,687054,856971,1330552,1443986,108411,1416984
724,172.96001,11.074,163931,172352,217426,169651,186898,209802,213153,155319,221424,208307,158346,171010,156480,204743,109461,115053,170435,181294,117608,216952
725,172.96005,13.259,175523,181609,197805,157540,167919,185615,166978,110567,166270,164707,182321,129764,197148,165177,100519,87720,187383,194422,109059,183694
726,173.00604,1.331,50385,51214,5968,3448,30335,46326,27149,61678,13095,67203,87386,43133,47473,46730,31565,25089,42339,41101,33310,49693
727,173.00681,13.55,31036,42668,27072,36451,34648,35517,49593,28951,43546,31999,14629,35739,46984,64471,33201,51424,58706,44853,43705,47117
728,173.02037,10.508,39673,40072,47247,43353,42836,44327,41377,39289,45634,29315,37931,26785,42243,31058,44799,50011,39198,42129,38844,39735
729,173.08003,10.998,22185,22539,20121,21154,20070,20278,23573,23783,30710,29041,15993,27645,28482,19794,17531,23609,24275,24586,24402,24127
730,173.09018,12.072,26782,25378,9302,10199,14632,12001,12219,14858,9307,18169,21940,27924,36968,46672,36902,43112,43681,16630,44844,48221
731,173.09306,9.277,15891,17936,24490,22295,17664,19200,16775,14157,21167,19572,9057,11093,11317,13186,12058,11220,12556,11681,10192,12198
732,173.10228,16.063,387731,411251,423878,209007,316954,475635,705088,344733,726627,506895,340029,461259,493446,513335,235850,216823,308359,511937,310480,405842
733,173.1171,1.321,15118,31811,36647,26828,15169,20257,27028,27169,31704,34283,17270,20943,18662,17845,22142,16389,16978,22326,14135,20894
734,173.12004,4.166,138195,164076,165096,145782,104446,105936,94041,74045,159774,108701,81893,135954,118834,139725,175512,160201,116557,135020,121865,168232
735,173.50075,12.109,10240,10352,4832,9788,9521,5154,10380,6186,8042,7180,9706,17988,20047,17787,13055,16936,17668,18094,12407,19778
736,173.98215,4.983,221449,212956,18218,22140,132628,123156,80631,75476,44669,148817,277869,203567,263057,284334,192175,184591,245897,182583,173847,312877
737,174.02345,1.08,41358,52606,8205,11444,23822,18669,18421,13434,25173,42307,46269,50848,43003,47056,50200,43304,29981,35417,51949,55142
738,174.02847,0.604,30613,22709,361,366,28352,10346,3931,6310,1215,27488,26321,16586,21292,30777,21644,26730,28698,6592,28864,36275
739,174.0426,12.109,2079710,2064625,1000341,1872946,1781816,1029519,2011098,1227587,1496816,1460433,1848700,3405402,3766075,3732500,2462932,3276229,3544425,3536813,2447825,3756560
740,174.93636,13.164,199555,197835,198327,230519,106831,150623,163232,145268,267480,175982,81877,185241,179234,255442,190353,168660,221204,168317,173219,213182
741,175.01639,1.43,56367,74011,5748,2002,3560,43536,24899,12878,16681,46467,86077,67086,88365,104931,29193,27956,76162,53257,64709,100199
742,175.01642,1.199,1054462,888893,13406,35105,742178,572686,234979,204546,91659,615070,720565,1179223,1569464,1587410,1294424,1468907,1400204,707034,1171169,1926564
743,175.02328,11.301,25311,41616,118865,63459,261045,227094,286309,145253,77185,217634,11714,32120,13472,75673,25747,48480,11173,42343,25989,35699
744,175.09427,4.895,29593,30084,31950,19393,26442,26630,29390,27554,35436,33724,23790,26888,28724,29902,24159,27120,24069,30181,22214,33130
745,176.01237,2.13,407839,284026,2329,2207,183275,123394,46563,56862,9170,177066,277768,291821,418041,490393,329031,461325,408484,92463,421121,557734
746,176.03842,5.774,55862,43095,13948,14708,29663,30137,19655,14324,16317,25541,23669,38675,54816,41249,31849,40833,39316,23245,31762,49170
747,176.0533,9.813,8774,29920,10055,9758,8577,14725,9332,8609,9169,9305,3100,11581,4423,8268,5850,4844,10008,5604,7529,10535
748,176.05539,4.75,25027,29550,17726,6028,70163,63534,52709,60064,26810,72332,10270,14013,5016,16802,2159,6170,13692,14065,9589,20778
749,176.0695,1.803,104205,75745,64703,8049,2165,63087,72148,49429,129619,84620,149736,75391,120147,84546,66497,51761,64848,115586,75471,77169
750,176.06969,1.342,289041,224593,140963,197451,119335,149873,164018,132202,262156,234716,406442,254311,340385,251080,188361,130448,201942,329297,219671,241296
751,176.92923,13.165,19249,20923,19395,22844,12987,15185,16435,14993,24786,18174,9111,19318,18115,24908,18726,18976,20388,16488,17112,20469
752,176.95551,14.289,15947,14270,13144,13678,12155,12733,14562,11980,18393,22045,15556,14614,11649,18026,12364,10327,15672,14446,15762,15439
753,176.98145,10.781,38390,44736,43780,41672,43383,45157,48054,37750,46381,42435,39490,41878,42491,44701,40719,38261,42294,42759,37522,47470
754,177.03792,4.391,457196,836608,160436,682302,812986,911391,617573,352015,137280,465911,138003,568848,579333,322744,241871,557092,619169,317028,73076,365732
755,177.03908,9.304,92097,52406,102887,63496,85986,69418,95803,58216,52738,56194,32278,46008,63620,37033,36539,30686,42670,48064,45467,39507
756,177.03957,3.099,2068003,1213324,3134258,1801415,2123190,3617006,3335141,752895,1322617,2666568,458817,470109,786765,381321,631664,590698,982294,514044,559857,714029
757,177.04112,4.866,224048,228905,308990,272093,254428,658774,303514,500753,515192,179049,140975,251105,189787,220755,203662,207936,204828,207808,167579,226463
758,177.04282,5.336,455901,407652,555730,162724,289852,632425,529935,468195,424706,468081,316980,325175,368364,334189,357074,297857,370488,364290,330933,393251
