name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
2010,301.13943,552.54,57339,100451,106645,97857,102086,97872,73599,63070,91028,94450,198068,69037,75378,104094,92860,88129,103242,55172,60097,60105
2011,301.13947,706.92,120366,109365,112386,144205,128816,109293,110277,148571,108035,110480,169864,161892,103487,118104,154356,144707,167074,116543,145105,142339
2012,301.13962,853.8,135208,82060,116803,170609,126226,126726,121684,129915,79679,117043,41700,191209,159151,79017,195827,71251,176257,126578,168614,72160
2013,301.14075,293.1,60179,69705,104607,81436,68309,71163,80854,72148,82396,99776,107565,61869,69860,49341,52817,50222,66326,63090,53815,63103
2014,301.14139,271.56,99217,157280,176235,193474,175650,97460,181997,94085,195387,163275,98983,99613,160216,78532,153555,132210,144593,82984,107187,122695
2015,301.14154,186.48,99376,79127,99796,160607,124465,56179,90687,32613,98336,85578,74900,94943,76204,31470,68040,64202,84618,59244,51423,49705
2016,301.14163,623.4,237493,155662,82724,165511,89677,101473,90768,90134,143461,99136,83316,113901,116078,158481,265231,177498,235804,154255,220711,243815
2017,301.14215,474.78,57656,83491,51923,75148,88402,88631,53307,72368,89206,80121,24201,80744,58316,79324,68965,69412,81221,89173,72470,74855
2018,301.20984,204.78,22522,14380,25119,19631,11171,14295,9123,13776,18276,25667,18471,11635,17160,11376,13457,10041,12807,10875,12378,26246
2019,301.21487,78.66,118812,136647,84690,60173,90243,65074,90067,63863,92620,136680,126600,78712,116627,107184,74442,75628,98670,95679,73365,111628
2020,301.25229,376.74,11574,13235,12063,13950,4522,9793,4319,6529,12158,5353,1390,13443,9947,11653,16691,13847,15163,6091,18163,17571
